,City,Country,Date,Max Temp,Clouds,Humidity,Wind Speed,Lat,Lng
0,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
1,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
2,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
3,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
4,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
5,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
6,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
7,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
8,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
9,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
10,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
11,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
12,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
13,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
14,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
15,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
16,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
17,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
18,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
19,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
20,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
21,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
22,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
23,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
24,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
25,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
26,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
27,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
28,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
29,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
30,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
31,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
32,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
33,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
34,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
35,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
36,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
37,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
38,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
39,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
40,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
41,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
42,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
43,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
44,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
45,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
46,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
47,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
48,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
49,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
50,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
51,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
52,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
53,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
54,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
55,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
56,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
57,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
58,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
59,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
60,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
61,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
62,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
63,Ribeira Grande,PT,1601153420,71.6,75,83,17.22,38.52,-28.7
